graph_id,split
grafo10193.38,val
grafo10194.97,val
grafo10195.99,val
grafo10196.94,val
grafo10197.96,val
grafo10198.94,val
grafo10199.98,val
grafo1020.12,train
grafo10200.96,val
grafo10201.93,val
grafo10202.92,val
grafo10203.97,val
grafo10204.100,val
grafo10205.97,val
grafo10206.97,val
grafo10207.98,val
grafo10208.98,val
grafo10209.99,val
grafo1021.14,train
grafo10210.92,val
grafo10211.92,val
grafo10212.97,val
grafo10213.99,val
grafo10214.94,val
grafo10215.93,val
grafo10216.97,val
grafo10217.99,val
grafo10218.99,val
grafo10219.99,val
grafo1022.17,train
grafo10220.97,val
grafo10221.95,val
grafo10222.99,val
grafo10223.100,val
grafo10224.95,val
grafo10225.99,val
grafo10226.97,val
grafo10227.96,val
grafo10228.95,val
grafo10229.36,val
grafo1023.11,train
grafo10230.37,val
grafo10231.32,val
grafo10232.37,val
grafo10233.34,val
grafo10234.39,val
grafo10235.39,val
grafo10236.95,val
grafo10237.100,val
grafo10239.91,val
grafo1024.20,train
grafo10240.97,val
grafo10241.95,val
grafo10242.93,val
grafo10243.95,val
grafo10244.99,val
grafo10245.92,val
grafo10246.96,val
grafo10247.95,val
grafo10248.100,val
grafo10249.94,val
grafo1025.15,train
grafo10250.100,val
grafo10252.96,val
grafo10253.97,val
grafo10254.94,val
grafo10255.93,val
grafo10256.96,val
grafo10257.100,val
grafo10258.96,val
grafo10259.100,val
grafo1026.26,train
grafo10260.98,val
grafo10261.96,val
grafo10262.100,val
grafo10263.97,val
grafo10264.99,val
grafo10265.100,val
grafo10266.94,val
grafo10267.95,val
grafo10268.97,val
grafo10269.99,val
grafo1027.11,train
grafo10270.93,val
grafo10271.100,val
grafo10273.97,val
grafo10274.99,val
grafo10275.97,val
grafo10276.41,val
grafo10277.35,val
grafo10278.40,val
grafo10279.32,val
grafo1028.16,train
grafo10280.37,val
grafo10281.34,val
grafo10282.40,val
grafo10283.92,val
grafo10284.36,val
grafo10285.39,val
grafo10286.97,val
grafo10287.92,val
grafo10288.95,val
grafo10289.99,val
grafo1029.16,train
grafo10290.95,val
grafo10291.93,val
grafo10292.100,val
grafo10293.99,val
grafo10294.100,val
grafo10295.95,val
grafo10296.100,val
grafo10297.98,val
grafo10298.97,val
grafo10299.94,val
grafo1030.15,train
grafo10300.94,val
grafo10301.94,val
grafo10302.96,val
grafo10303.96,val
grafo10304.94,val
grafo10305.100,val
grafo10306.95,val
grafo10307.99,val
grafo10308.96,val
grafo10309.94,val
grafo1031.16,train
grafo10310.93,val
grafo10311.91,val
grafo10312.91,val
grafo10313.94,val
grafo10314.96,val
grafo10315.98,val
grafo10316.100,val
grafo10317.91,val
grafo10318.98,val
grafo10319.92,val
grafo1032.10,train
grafo10320.95,val
grafo10321.97,val
grafo10322.97,val
grafo10323.97,val
grafo10324.99,val
grafo10325.96,val
grafo10326.93,val
grafo10327.97,val
grafo10328.92,val
grafo10329.97,val
grafo1033.24,train
grafo10330.96,val
grafo10331.100,val
grafo10332.94,val
grafo10333.33,val
grafo10334.94,val
grafo10335.40,val
grafo10336.37,val
grafo10337.36,val
grafo10338.33,val
grafo10339.95,val
grafo1034.29,train
grafo10340.33,val
grafo10341.41,val
grafo10342.37,val
grafo10343.94,val
grafo10344.100,val
grafo10345.95,val
grafo10346.97,val
grafo10348.99,val
grafo10349.94,val
grafo1035.37,train
grafo10350.96,val
grafo10351.97,val
grafo10352.95,val
grafo10353.99,val
grafo10354.99,val
grafo10355.94,val
grafo10356.97,val
grafo10357.94,val
grafo10358.95,val
grafo10359.95,val
grafo1036.20,train
grafo10360.93,val
grafo10361.97,val
grafo10362.94,val
grafo10363.98,val
grafo10364.100,val
grafo10365.97,val
grafo10366.99,val
grafo10367.96,val
grafo10368.96,val
grafo10369.100,val
grafo1037.22,train
grafo10370.98,val
grafo10371.95,val
grafo10372.100,val
grafo10373.94,val
grafo10374.97,val
grafo10376.92,val
grafo10377.94,val
grafo10378.100,val
grafo10379.95,val
grafo1038.23,train
grafo10380.98,val
grafo10381.99,val
grafo10382.94,val
grafo10383.99,val
grafo10384.99,val
grafo10385.94,val
grafo10386.99,val
grafo10387.97,val
grafo10388.95,val
grafo10389.94,val
grafo1039.14,train
grafo10390.95,val
grafo10391.94,val
grafo10392.94,val
grafo10393.96,val
grafo10394.100,val
grafo10395.36,val
grafo10396.33,val
grafo10397.36,val
grafo10398.35,val
grafo10399.33,val
grafo1040.25,train
grafo10400.33,val
grafo10401.38,val
grafo10402.40,val
grafo10403.38,val
grafo10404.97,val
grafo10405.97,val
grafo10406.97,val
grafo10407.93,val
grafo10408.93,val
grafo10409.96,val
grafo1041.49,train
grafo10410.93,val
grafo10411.98,val
grafo10412.94,val
grafo10413.93,val
grafo10414.98,val
grafo10415.94,val
grafo10416.96,val
grafo10417.95,val
grafo10418.100,val
grafo10419.91,val
grafo1042.14,train
grafo10420.97,val
grafo10421.99,val
grafo10422.97,val
grafo10424.93,val
grafo10425.93,val
grafo10426.100,val
grafo10427.95,val
grafo10428.35,val
grafo10429.100,val
grafo1043.15,train
grafo10430.95,val
grafo10431.95,val
grafo10432.99,val
grafo10433.97,val
grafo10434.98,val
grafo10435.96,val
grafo10436.95,val
grafo10437.97,val
grafo10438.97,val
grafo10439.96,val
grafo1044.23,train
grafo10440.93,val
grafo10441.98,val
grafo10442.97,val
grafo10443.98,val
grafo10444.100,val
grafo10445.94,val
grafo10446.95,val
grafo10447.99,val
grafo10448.98,val
grafo10449.96,val
grafo1045.29,train
grafo10450.36,val
grafo10451.95,val
grafo10452.94,val
grafo10453.97,val
grafo10454.33,val
grafo10455.38,val
grafo10456.33,val
grafo10457.36,val
grafo10458.31,val
grafo10459.37,val
grafo1046.17,train
grafo10460.36,val
grafo10461.36,val
grafo10462.36,val
grafo10463.36,val
grafo10464.96,val
grafo10465.96,val
grafo10466.94,val
grafo10467.100,val
grafo10468.99,val
grafo10469.100,val
grafo1047.16,train
grafo10470.92,val
grafo10471.94,val
grafo10472.32,val
grafo10473.95,val
grafo10474.94,val
grafo10475.98,val
grafo10476.95,val
grafo10477.91,val
grafo10478.94,val
grafo10479.98,val
grafo1048.18,train
grafo10480.95,val
grafo10481.95,val
grafo10482.94,val
grafo10483.34,val
grafo10484.99,val
grafo10485.94,val
grafo10486.97,val
grafo10487.95,val
grafo10488.98,val
grafo10489.95,val
grafo1049.21,train
grafo10490.99,val
grafo10491.97,val
grafo10492.96,val
grafo10493.94,val
grafo10494.40,val
grafo10495.97,val
grafo10496.98,val
grafo10497.95,val
grafo10498.99,val
grafo10499.96,val
grafo1050.18,train
grafo10500.91,val
grafo10501.96,val
grafo10502.91,val
grafo10503.100,val
grafo10504.100,val
grafo10505.39,val
grafo10506.98,val
grafo10507.93,val
grafo10508.100,val
grafo10509.32,val
grafo1051.34,train
grafo10510.35,val
grafo10511.34,val
grafo10512.36,val
grafo10513.37,val
grafo10514.39,val
grafo10515.39,val
grafo10516.94,val
grafo10517.93,val
grafo10518.94,val
grafo10519.98,val
grafo1052.22,train
grafo10520.99,val
grafo10522.99,val
grafo10523.97,val
grafo10524.97,val
grafo10525.100,val
grafo10526.97,val
grafo10527.93,val
grafo10528.98,val
grafo10529.98,val
grafo1053.32,train
grafo10530.100,val
grafo10531.96,val
grafo10532.99,val
grafo10533.100,val
grafo10534.100,val
grafo10535.100,val
grafo10536.99,val
grafo10537.95,val
grafo10538.100,val
grafo1054.11,train
grafo10540.97,val
grafo10541.93,val
grafo10542.100,val
grafo10543.95,val
grafo10544.93,val
grafo10545.93,val
grafo10546.98,val
grafo10547.94,val
grafo10548.94,val
grafo10549.99,val
grafo1055.19,train
grafo10550.100,val
grafo10551.90,val
grafo10552.96,val
grafo10553.98,val
grafo10554.93,val
grafo10555.98,val
grafo10556.100,val
grafo10557.98,val
grafo10558.97,val
grafo10559.98,val
grafo1056.17,train
grafo10560.95,val
grafo10561.97,val
grafo10562.33,val
grafo10563.41,val
grafo10564.37,val
grafo10565.32,val
grafo10566.36,val
grafo10567.38,val
grafo10568.39,val
grafo10569.36,val
grafo1057.16,train
grafo10570.95,val
grafo10571.93,val
grafo10572.92,val
grafo10573.93,val
grafo10574.94,val
grafo10575.99,val
grafo10577.100,val
grafo10578.96,val
grafo10579.96,val
grafo1058.14,train
grafo10580.98,val
grafo10581.98,val
grafo10582.94,val
grafo10583.94,val
grafo10584.100,val
grafo10585.93,val
grafo10586.100,val
grafo10587.94,val
grafo10588.93,val
grafo10589.93,val
grafo1059.18,train
grafo10590.96,val
grafo10591.99,val
grafo10592.98,val
grafo10593.98,val
grafo10594.94,val
grafo10595.95,val
grafo10596.99,val
grafo10597.95,val
grafo10598.99,val
grafo10599.97,val
grafo1060.11,train
grafo10600.93,val
grafo10601.93,val
grafo10602.94,val
grafo10603.100,val
grafo10605.99,val
grafo10606.94,val
grafo10607.94,val
grafo10608.93,val
grafo10609.100,val
grafo1061.11,train
grafo10610.95,val
grafo10611.94,val
grafo10612.94,val
grafo10613.96,val
grafo10614.92,val
grafo10615.40,val
grafo10616.96,val
grafo10617.34,val
grafo10618.38,val
grafo10619.36,val
grafo1062.15,train
grafo10620.35,val
grafo10621.37,val
grafo10622.39,val
grafo10623.98,val
grafo10624.91,val
grafo10625.100,val
grafo10626.100,val
grafo10627.96,val
grafo10628.96,val
grafo10629.100,val
grafo1063.14,train
grafo10630.94,val
grafo10631.98,val
grafo10632.100,val
grafo10633.100,val
grafo10634.96,val
grafo10635.95,val
grafo10636.95,val
grafo10637.94,val
grafo10638.100,val
grafo10639.91,val
grafo1064.21,train
grafo10640.94,val
grafo10641.99,val
grafo10642.90,val
grafo10643.94,val
grafo10644.100,val
grafo10645.95,val
grafo10646.100,val
grafo10647.98,val
grafo10648.98,val
grafo10649.95,val
grafo1065.14,train
grafo10650.98,val
grafo10651.90,val
grafo10652.100,val
grafo10653.100,val
grafo10654.96,val
grafo10655.34,val
grafo10656.98,val
grafo10657.39,val
grafo10658.35,val
grafo10659.38,val
grafo1066.11,train
grafo10660.37,val
grafo10661.95,val
grafo10662.100,val
grafo10663.99,val
grafo10665.100,val
grafo10666.98,val
grafo10667.98,val
grafo10668.99,val
grafo10669.93,val
grafo1067.13,train
grafo10670.100,val
grafo10671.100,test
grafo10672.98,test
grafo10673.93,test
grafo10674.99,test
grafo10675.95,test
grafo10676.100,test
grafo10677.95,test
grafo10678.98,test
grafo10679.100,test
grafo1068.12,train
grafo10680.95,test
grafo10681.93,test
grafo10682.98,test
grafo10683.97,test
grafo10684.95,test
grafo10685.98,test
grafo10686.96,test
grafo10687.96,test
grafo10688.95,test
grafo10689.98,test
grafo1069.16,train
grafo10690.96,test
grafo10691.95,test
grafo10692.92,test
grafo10693.98,test
grafo10694.96,test
grafo10695.98,test
grafo10696.99,test
grafo10697.95,test
grafo10698.95,test
grafo10699.98,test
grafo1070.10,train
grafo10700.98,test
grafo10701.99,test
grafo10702.33,test
grafo10703.95,test
grafo10704.37,test
grafo10705.97,test
grafo10706.37,test
grafo10707.33,test
grafo10708.35,test
grafo10709.98,test
grafo1071.10,train
grafo10710.93,test
grafo10711.93,test
grafo10712.98,test
grafo10713.92,test
grafo10714.99,test
grafo10715.92,test
grafo10716.97,test
grafo10717.96,test
grafo10718.98,test
grafo10719.96,test
grafo1072.14,train
grafo10720.96,test
grafo10721.96,test
grafo10722.96,test
grafo10723.96,test
grafo10724.92,test
grafo10725.99,test
grafo10726.99,test
grafo10727.94,test
grafo10728.34,test
grafo10729.36,test
grafo1073.51,train
grafo10730.38,test
grafo10731.32,test
grafo10732.33,test
grafo10733.39,test
grafo10734.37,test
grafo10735.99,test
grafo10736.99,test
grafo10737.99,test
grafo10738.96,test
grafo10739.93,test
grafo1074.14,train
grafo10740.92,test
grafo10741.92,test
grafo10742.99,test
grafo10743.96,test
grafo10744.96,test
grafo10745.31,test
grafo10746.36,test
grafo10747.38,test
grafo10748.39,test
grafo10749.32,test
grafo1075.47,train
grafo10750.100,test
grafo10751.36,test
grafo10752.35,test
grafo10753.33,test
grafo10754.35,test
grafo10755.41,test
grafo10756.42,test
grafo10757.96,test
grafo10758.96,test
grafo10759.96,test
grafo1076.18,train
grafo10760.96,test
grafo10761.95,test
grafo10762.99,test
grafo10763.92,test
grafo10764.96,test
grafo10765.92,test
grafo10766.33,test
grafo10767.38,test
grafo10768.35,test
grafo10769.36,test
grafo1077.11,train
grafo10770.35,test
grafo10771.92,test
grafo10772.100,test
grafo10773.93,test
grafo10774.93,test
grafo10775.94,test
grafo10776.96,test
grafo10777.100,test
grafo10778.100,test
grafo10779.96,test
grafo1078.11,train
grafo10780.99,test
grafo10781.100,test
grafo10782.95,test
grafo10784.98,test
grafo10785.94,test
grafo10786.100,test
grafo10787.95,test
grafo10788.98,test
grafo10789.91,test
grafo1079.19,train
grafo10790.98,test
grafo10791.34,test
grafo10792.98,test
grafo10793.95,test
grafo10794.100,test
grafo10795.32,test
grafo10796.33,test
grafo10797.94,test
grafo10798.37,test
grafo10799.34,test
grafo1080.16,train
grafo10800.37,test
grafo10801.35,test
grafo10802.37,test
grafo10803.99,test
grafo10804.35,test
grafo10805.98,test
grafo10806.97,test
grafo10807.95,test
grafo10808.98,test
grafo10809.99,test
grafo1081.15,train
grafo10810.97,test
grafo10811.96,test
grafo10812.98,test
grafo10813.93,test
grafo10814.98,test
grafo10815.97,test
grafo10816.93,test
grafo10817.96,test
grafo10818.97,test
grafo10819.95,test
grafo1082.23,train
grafo10820.100,test
grafo10821.96,test
grafo10822.97,test
grafo10823.96,test
grafo10824.92,test
grafo10825.98,test
grafo10826.93,test
grafo10827.99,test
grafo10828.97,test
grafo10829.97,test
grafo1083.14,train
grafo10830.92,test
grafo10831.98,test
grafo10832.94,test
grafo10833.98,test
grafo10834.93,test
grafo10835.39,test
grafo10836.97,test
grafo10837.95,test
grafo10838.37,test
grafo10839.32,test
grafo1084.11,train
grafo10840.36,test
grafo10841.35,test
grafo10842.33,test
grafo10843.34,test
grafo10844.39,test
grafo10845.41,test
grafo10846.40,test
grafo10847.93,test
grafo10848.94,test
grafo10849.95,test
grafo1085.17,train
grafo10850.94,test
grafo10851.95,test
grafo10852.94,test
grafo10853.92,test
grafo10854.99,test
grafo10855.96,test
grafo10856.91,test
grafo10857.95,test
grafo10858.93,test
grafo10859.97,test
grafo1086.18,train
grafo10860.93,test
grafo10861.100,test
grafo10862.98,test
grafo10863.94,test
grafo10864.99,test
grafo10865.100,test
grafo10866.98,test
grafo10867.95,test
grafo10868.96,test
grafo10869.96,test
grafo1087.14,train
grafo10870.94,test
grafo10871.95,test
grafo10872.93,test
grafo10873.97,test
grafo10874.94,test
grafo10875.97,test
grafo10876.98,test
grafo10877.97,test
grafo10878.94,test
grafo10879.92,test
grafo1088.11,train
grafo10880.95,test
grafo10881.97,test
grafo10882.95,test
grafo10883.93,test
grafo10884.93,test
grafo10885.98,test
grafo10886.97,test
grafo10887.31,test
grafo10888.35,test
grafo10889.36,test
grafo1089.23,train
grafo10890.34,test
grafo10891.95,test
grafo10892.37,test
grafo10893.92,test
grafo10894.97,test
grafo10895.98,test
grafo10896.96,test
grafo10897.95,test
grafo10898.95,test
grafo10899.96,test
grafo1090.29,train
grafo10900.93,test
grafo10901.94,test
grafo10902.33,test
grafo10903.93,test
grafo10904.94,test
grafo10905.97,test
grafo10906.97,test
grafo10907.99,test
grafo10908.98,test
grafo10909.96,test
grafo1091.21,train
grafo10910.94,test
grafo10911.100,test
grafo10912.92,test
grafo10913.97,test
grafo10914.96,test
grafo10915.97,test
grafo10916.95,test
grafo10917.94,test
grafo10918.98,test
grafo10919.97,test
grafo1092.42,train
grafo10920.95,test
grafo10921.97,test
grafo10922.100,test
grafo10923.97,test
grafo10924.98,test
grafo10925.95,test
grafo10926.99,test
grafo10927.95,test
grafo10928.100,test
grafo10929.94,test
grafo1093.15,train
grafo10930.100,test
grafo10931.94,test
grafo10932.94,test
grafo10933.94,test
grafo10934.95,test
grafo10935.94,test
grafo10936.98,test
grafo10937.100,test
grafo10938.33,test
grafo10939.33,test
grafo1094.17,train
grafo10940.39,test
grafo10941.37,test
grafo10942.35,test
grafo10943.95,test
grafo10944.96,test
grafo10945.98,test
grafo10946.92,test
grafo10947.97,test
grafo10948.98,test
grafo10949.95,test
grafo1095.11,train
grafo10950.97,test
grafo10951.97,test
grafo10952.96,test
grafo10953.93,test
grafo10954.94,test
grafo10955.94,test
grafo10956.95,test
grafo10957.92,test
grafo10958.98,test
grafo10959.97,test
grafo1096.44,train
grafo10960.98,test
grafo10961.96,test
grafo10962.100,test
grafo10963.97,test
grafo10964.95,test
grafo10965.99,test
grafo10966.96,test
grafo10967.93,test
grafo10968.99,test
grafo10969.98,test
grafo1097.16,train
grafo10970.100,test
grafo10971.96,test
grafo10972.95,test
grafo10973.94,test
grafo10974.97,test
grafo10975.96,test
grafo10976.92,test
grafo10977.94,test
grafo10978.98,test
grafo10979.39,test
grafo1098.10,train
grafo10980.95,test
grafo10981.33,test
grafo10982.34,test
grafo10983.34,test
grafo10984.98,test
grafo10985.96,test
grafo10986.96,test
grafo10987.96,test
grafo10988.98,test
grafo10989.97,test
grafo1099.11,train
grafo10990.96,test
grafo10991.97,test
grafo10992.94,test
grafo10993.95,test
grafo10994.94,test
grafo10995.96,test
grafo10996.97,test
grafo10997.100,test
grafo10998.100,test
grafo10999.92,test
grafo1100.11,train
grafo11000.99,test
grafo11001.97,test
grafo11002.96,test
grafo11003.100,test
grafo11004.98,test
grafo11005.93,test
grafo11006.97,test
grafo11007.93,test
grafo11008.99,test
grafo11009.98,test
grafo1101.25,train
grafo11010.97,test
grafo11011.100,test
grafo11012.96,test
grafo11013.35,test
grafo11014.100,test
grafo11015.98,test
grafo11016.98,test
grafo11017.97,test
grafo11018.99,test
grafo11019.93,test
grafo1102.29,train
grafo11020.100,test
grafo11021.96,test
grafo11022.32,test
grafo11023.33,test
grafo11024.38,test
grafo11025.94,test
grafo11026.33,test
grafo11027.92,test
grafo11028.40,test
grafo11029.32,test
grafo1103.24,train
grafo11030.36,test
grafo11031.36,test
grafo11032.36,test
grafo11033.94,test
grafo11034.95,test
grafo11035.99,test
grafo11036.97,test
grafo11037.99,test
grafo11038.100,test
grafo11039.96,test
grafo1104.21,train
grafo11040.95,test
grafo11041.97,test
grafo11042.94,test
grafo11043.94,test
grafo11044.95,test
grafo11045.94,test
grafo11046.97,test
grafo11047.92,test
grafo11048.94,test
grafo1105.19,train
grafo11050.98,test
grafo11051.100,test
grafo11052.97,test
grafo11053.94,test
grafo11054.96,test
grafo11055.98,test
grafo11056.98,test
grafo11057.96,test
grafo11058.98,test
grafo11059.98,test
grafo1106.21,train
grafo11060.99,test
grafo11061.94,test
grafo11062.99,test
grafo11063.92,test
grafo11064.94,test
grafo11065.100,test
grafo11066.96,test
grafo11067.98,test
grafo11068.96,test
grafo11069.93,test
grafo1107.15,train
grafo11070.94,test
grafo11071.94,test
grafo11072.98,test
grafo11073.100,test
grafo11074.96,test
grafo11075.97,test
grafo11076.97,test
grafo11077.36,test
grafo11078.100,test
grafo11079.39,test
grafo1108.18,train
grafo11080.93,test
grafo11081.34,test
grafo11082.33,test
grafo11083.37,test
grafo11084.36,test
grafo11085.97,test
grafo11086.96,test
grafo11087.96,test
grafo11088.97,test
grafo11089.93,test
grafo1109.24,train
grafo11090.93,test
grafo11091.97,test
grafo11092.97,test
grafo11093.100,test
grafo11094.98,test
grafo11095.93,test
grafo11096.97,test
grafo11097.96,test
grafo11098.96,test
grafo11099.99,test
grafo1110.20,train
grafo11100.95,test
grafo11101.95,test
grafo11102.98,test
grafo11103.93,test
grafo11104.95,test
grafo11105.95,test
grafo11106.99,test
grafo11107.94,test
grafo11108.94,test
grafo11109.94,test
grafo1111.15,train
grafo11110.99,test
grafo11111.94,test
grafo11112.96,test
grafo11113.98,test
grafo11114.93,test
grafo11115.92,test
grafo11116.92,test
grafo11117.95,test
grafo11118.99,test
grafo11119.98,test
grafo1112.16,train
grafo11120.96,test
grafo11121.32,test
grafo11122.37,test
grafo11123.32,test
grafo11124.37,test
grafo11125.100,test
grafo11126.36,test
grafo11127.31,test
grafo11128.36,test
grafo11129.34,test
grafo1113.20,train
grafo11130.33,test
grafo11131.36,test
grafo11132.95,test
grafo11133.93,test
grafo11134.91,test
grafo11135.95,test
grafo11136.98,test
grafo11137.95,test
grafo11138.100,test
grafo11139.98,test
grafo1114.24,train
grafo11140.98,test
grafo11141.95,test
grafo11142.99,test
grafo11143.98,test
grafo11144.92,test
grafo11145.99,test
grafo11146.99,test
grafo11147.100,test
grafo11148.99,test
grafo11149.100,test
grafo1115.31,train
grafo11150.99,test
grafo11151.92,test
grafo11152.98,test
grafo11153.99,test
grafo11154.95,test
grafo11155.99,test
grafo11156.98,test
grafo11157.100,test
grafo11158.94,test
grafo11159.93,test
grafo1116.16,train
grafo11160.100,test
grafo11161.99,test
grafo11162.100,test
grafo11163.38,test
grafo11164.40,test
grafo11165.39,test
grafo11166.34,test
grafo11167.37,test
grafo11168.34,test
grafo11169.99,test
grafo1117.11,train
grafo11170.33,test
grafo11171.35,test
grafo11172.41,test
grafo11173.41,test
grafo11174.91,test
grafo11175.94,test
grafo11176.100,test
grafo11177.98,test
grafo11178.95,test
grafo11179.99,test
grafo1118.22,train
grafo11180.34,test
grafo11181.95,test
grafo11182.99,test
grafo11184.93,test
grafo11185.94,test
grafo11186.93,test
grafo11187.98,test
grafo11188.99,test
grafo11189.94,test
grafo1119.16,train
grafo11190.92,test
grafo11191.100,test
grafo11192.92,test
grafo11193.93,test
grafo11194.100,test
grafo11195.93,test
grafo11196.100,test
grafo11197.92,test
grafo11198.98,test
grafo1120.10,train
grafo11200.93,test
grafo11201.99,test
grafo11202.32,test
grafo11203.100,test
grafo11204.99,test
grafo11205.94,test
grafo11206.91,test
grafo11207.34,test
grafo11208.38,test
grafo11209.36,test
grafo1121.17,train
grafo11210.33,test
grafo11211.33,test
grafo11212.41,test
grafo11213.37,test
grafo11214.40,test
grafo11215.93,test
grafo11216.94,test
grafo11217.95,test
grafo11218.99,test
grafo11219.94,test
grafo1122.17,train
grafo11220.92,test
grafo11221.92,test
grafo11222.93,test
grafo11223.99,test
grafo11224.34,test
grafo11225.94,test
grafo11226.91,test
grafo11227.100,test
grafo11228.94,test
grafo11229.94,test
grafo1123.10,train
grafo11230.100,test
grafo11232.92,test
grafo11233.93,test
grafo11234.35,test
grafo11235.35,test
grafo11236.38,test
grafo11237.35,test
grafo11238.37,test
grafo11239.31,test
grafo1124.15,train
grafo11240.36,test
grafo11241.34,test
grafo11242.41,test
grafo11243.37,test
grafo11244.36,test
grafo11245.92,test
grafo11246.93,test
grafo11247.36,test
grafo11248.99,test
grafo11249.94,test
grafo1125.21,train
grafo11250.99,test
grafo11251.93,test
grafo11252.93,test
grafo11253.94,test
grafo11254.99,test
grafo11255.94,test
grafo11256.99,test
grafo11257.91,test
grafo11258.94,test
grafo11259.92,test
grafo1126.10,train
grafo11260.36,test
grafo11261.32,test
grafo11262.41,test
grafo11263.41,test
grafo11264.33,test
grafo11265.33,test
grafo11266.40,test
grafo11267.92,test
grafo11268.93,test
grafo11269.93,test
grafo1127.19,train
grafo11270.93,test
grafo11271.99,test
grafo11272.99,test
grafo11273.92,test
grafo11274.93,test
grafo11275.93,test
grafo11276.92,test
grafo11277.34,test
grafo11278.37,test
grafo11279.35,test
grafo1128.11,train
grafo11280.99,test
grafo11281.34,test
grafo11282.35,test
grafo11283.40,test
grafo11284.37,test
grafo11285.93,test
grafo11286.92,test
grafo11287.93,test
